"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01";"A";"2";"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"Omfatter: Denne næringen omfatter to basisaktiviteter, produksjon av vegetabilske og animalske produkter. Næringshovedgruppe 01.5 Kombinert husdyrhold og planteproduksjon bryter med de vanlige prinsippene for identifisering av hovedaktivitet. Det er aksept for at mange gårder har et rimelig balansert forhold mellom plante- og husdyrproduksjon, og at en klassifisering i den ene eller andre kategorien vil bli tilfeldig. Næringen inkluderer jordløs dyrking, for eksempel ved bruk av hydroponiske og akvaponiske dyrkingsmetoder. I jordbruket kan det by på utfordringer ved fordelingen av verdiskapingen når en virksomhet både produserer en råvare og produserer en bearbeidet vare fra den egenproduserte råvaren. For eksempel når en virksomhet dyrker epler og produserer sider fra de selvdyrkede eplene, eller når en virksomhet dyrker bær og produserer syltetøy fra de selvdyrkede bærene. I slike tilfeller vil antall timer arbeidet være en passende erstatningsvariabel. Bruk av antall timer arbeidet ved slike vertikalt integrerte aktiviteter vil vanligvis føre til klassifisering av virksomheten i jordbruk. Det samme vil være tilfelle for andre jordbruksprodukter, der virksomheter vanligvis blir klassifisert i jordbruk, for å sikre likebehandling. Omfatter også: Næringen omfatter også tjenester tilknyttet jordbruk, jakt og fangst. Ekskluderer: Jordbruksaktiviteter omfatter normalt ikke bearbeiding av jordbruksprodukter (klassifisert i næringene 10, 11 og 12) med unntak av den bearbeiding som er nødvendig for å få omsatt varene på det primære markedet. En slik bearbeiding er inkludert her. Grunnarbeid, for eksempel anlegg av jordterrasser, drenering og lignende, grupperes under næringshovedområde F. Kjøpere og andelslag som driver med markedsføring av jordbruksprodukter grupperes under næringshovedområde G. Stell og vedlikehold av landskap grupperes under 81.30 Beplantning av hager og parkanlegg."
"01.1";"01";"3";"Dyrking av ettårige vekster";"Dyrking av ettårige vekster";"Omfatter: Denne næringshovedgruppen omfatter dyrking av ettårige vekster, dvs. Planter som ikke varer i mer enn to vekstsesonger. Den omfatter også dyrking av ettårige vekster med henblikk på produksjon av såfrø og såkorn."
"01.2";"01";"3";"Dyrking av flerårige vekster";"Dyrking av flerårige vekster";"Omfatter: Denne næringshovedgruppen omfatter dyrking av flerårige vekster, dvs. planter som varer i mer enn to vekstsesonger og enten dør etter hver vekstsesong og vokser fram igjen eller vokser konstant. Omfatter dyrking av slike planter med henblikk på produksjon av såfrø. Ekskluderer: Dyrking av flerårige blomster og andre prydplanter grupperes under 01.19 Dyrking av ettårige vekster ellers."
"01.3";"01";"3";"Planteformering";"Planteformering";""
"01.4";"01";"3";"Husdyrhold";"Husdyrhold";"Omfatter: Næringshovedgruppen omfatter oppdrett og avl av alle dyr, unntatt sjødyr. Ekskluderer: Oppstalling og pass av husdyr grupperes under 01.62 Tjenester tilknyttet husdyrhold. Produksjon av huder og skinn av dyr som slaktes på slakteri grupperes under 10.11 Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt."
"01.5";"01";"3";"Kombinert husdyrhold og planteproduksjon";"Kombinert husdyrhold og planteproduksjon";""
"01.6";"01";"3";"Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting";"Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting";"Omfatter: Næringshovedgruppen omfatter aktiviteter i forbindelse med jordbruksdrift vanligvis utført på honorar- eller kontraktbasis. Omfatter også: Næringshovedgruppen omfatter også bearbeiding av vekster etter innhøsting med henblikk på omsetning på det primære marked."
"01.7";"01";"3";"Jakt, fangst, viltstell og tilknyttede tjenester";"Jakt, fangst, viltstell og tilknyttede tjenester";""
"01.11";"01.1";"4";"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster";"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster";"Omfatter: Dyrking av all typer korn, belgvekster og oljeholdige vekster og dyrking av disse plantene med henblikk på produksjon av såfrø og såkorn. Dyrkingen av disse vekstene er ofte kombinert i enheter som driver jordbruk. Dyrking av korn, f.eks.; hvete, mais, durra, bygg, rug, havre, hirse, pseudokorn, frukt eller frø ? brukt som korn f.eks. quinoa, amaranth, chia. Dyrking av belgfrukter, f.eks.; bønner, hestebønner, kikerter, kuerter, linser, lupiner, erter, ertebønner. Dyrking av oljeholdige vekster, f.eks.; soyabønner, jordnøtter, kastorbønner, linfrø, sennepsfrø, nigerfrø, rapsfrø, saflorfrø, sesamfrø, solsikkefrø. Ekskluderer: Dyrking av ris grupperes under 01.12 Dyrking av ris. Dyrking av sukkermais grupperes under 01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster. Dyrking av fôrmais, lupiner, fôrkål grupperes under 01.19 Dyrking av ettårige vekster ellers. Dyrking av oljeholdige frukter grupperes under 01.26 Dyrking av oljeholdige frukter."
"01.12";"01.1";"4";"Dyrking av ris";"Dyrking av ris";"Omfatter: Dyrking av ris."
